,index,distance,name,scheduleType,storeOpen,storeClose,storeNumber,isStoreOpen,address,amenities,orderingAvailable,isCurbsideDeliveryAvailable,fuelTypes,latitude,longitude,food,fuel,restrooms,diesel,ethanolFreeGas,open24Hours,teslaChargingStation,propane,chademoChargingStation,ccsChargingStation
939,46,27.52,608 n goldenrod rd,24hours,00:00:00,00:00:00,5134,False,"{'address': '608 n goldenrod rd', 'city': 'orlando', 'state': 'FL', 'zip': '32807-6202'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.5532992,-81.2872952,True,True,True,True,False,True,False,True,False,False
940,47,27.8,4700 s golden rod road,24hours,00:00:00,00:00:00,5103,False,"{'address': '4700 s golden rod road', 'city': 'orlando', 'state': 'FL', 'zip': '32822-2027'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.48009,-81.28814,True,True,True,True,False,True,False,True,False,False
941,48,28.13,8049 e colonial drive,24hours,00:00:00,00:00:00,5113,False,"{'address': '8049 e colonial drive', 'city': 'orlando', 'state': 'FL', 'zip': '32818-6679'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.5689,-81.27792,True,True,True,True,False,False,False,False,False,False
942,3,2.97,4256 aloma avenue,24hours,00:00:00,00:00:00,5280,False,"{'address': '4256 aloma avenue', 'city': 'winter park', 'state': 'FL', 'zip': '32792'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.6118,-81.280304,True,True,True,True,False,True,False,False,False,False
943,7,4.28,11750 university blvd,24hours,00:00:00,00:00:00,5145,False,"{'address': '11750 university blvd', 'city': 'orlando', 'state': 'FL', 'zip': '32817'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.5970632,-81.2151362,True,True,True,True,False,True,False,True,False,False
944,8,4.67,10052 curry ford rd,24hours,00:00:00,00:00:00,5207,False,"{'address': '10052 curry ford rd', 'city': 'orlando', 'state': 'FL', 'zip': '32825'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.5093042,-81.2416362,True,False,False,False,,True,False,False,False,False
945,9,5.01,12321 e. colonial dr,24hours,00:00:00,00:00:00,5161,False,"{'address': '12321 e. colonial dr', 'city': 'orlando', 'state': 'FL', 'zip': '32826-4712'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': True, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.56601,-81.19546,True,False,False,False,,True,False,False,False,False
946,11,5.82,3000 alafaya trail,24hours,00:00:00,00:00:00,5118,False,"{'address': '3000 alafaya trail', 'city': 'oviedo', 'state': 'FL', 'zip': '32765-7678'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.6267,-81.20823,True,True,True,True,False,True,True,True,False,False
947,15,6.47,9955 lee vista blvd,24hours,00:00:00,00:00:00,5182,False,"{'address': '9955 lee vista blvd', 'city': 'orlando', 'state': 'FL', 'zip': '32829'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.47969,-81.2455,True,True,True,True,False,True,False,True,False,False
948,16,6.77,1020 west mitchell hammock rd,24hours,00:00:00,00:00:00,5219,False,"{'address': '1020 west mitchell hammock rd', 'city': 'oviedo', 'state': 'FL', 'zip': '32765'}","{'food': True, 'fuel': True, 'restrooms': True, 'diesel': True, 'ethanolFreeGas': True, 'open24Hours': True, 'teslaChargingStation': False, 'propane': True, 'chademoChargingStation': False, 'ccsChargingStation': False}",True,True,"[{'category': 'Unleaded'}, {'category': 'Plus'}, {'category': 'Premium'}, {'category': 'Diesel'}, {'category': 'Super'}, {'category': 'xEthanol'}]",28.655593,-81.22602,True,True,True,True,False,True,False,True,True,True
